Company,Month,Revenue,Expenses,Profit
Serrano Group,2005-11,50224.17,17799.42,32424.75
"Castaneda, White and Lozano",1973-08,67059.87,53016.86,14043.009999999995
"Conrad, Bauer and Smith",2013-08,29384.02,28614.66,769.3600000000006
Love Group,1995-04,49416.14,17678.0,31738.14
"Mcgee, Martin and Ellison",1972-08,25367.09,17199.11,8167.98
Perez-Marquez,2015-12,56859.02,31624.01,25235.01
"Harris, Schroeder and Harrison",1972-05,51453.87,12104.92,39348.950000000004
Lynn-Morgan,1974-04,41502.93,11134.56,30368.370000000003
"Garrett, Rocha and Jimenez",2000-05,79551.74,48692.67,30859.070000000007
Harrington Group,1984-04,56211.28,52073.32,4137.959999999999
Kelley LLC,2010-07,35141.52,12428.92,22712.6
Hogan and Sons,2023-05,50551.77,35197.47,15354.299999999996
Andrews-Harris,1971-04,16943.54,11142.43,5801.110000000001
Love Inc,1977-08,30746.29,22272.79,8473.5
Roberson and Sons,2003-04,40885.34,10342.17,30543.17
"Gordon, Silva and Miller",1971-02,95861.16,23633.48,72227.68000000001
Harris and Sons,1991-11,56892.55,52900.27,3992.280000000006
Bailey-Weaver,2002-11,86388.44,79853.27,6535.169999999998
Anderson-Brooks,2008-01,33302.1,19097.71,14204.39
"Mcdonald, Carlson and Rose",1995-01,74341.11,48687.29,25653.82
Galvan LLC,1988-05,86059.63,37586.6,48473.030000000006
"Ferguson, Anderson and Jones",1974-09,41619.03,17339.82,24279.21
"Robertson, Mcguire and Hernandez",1970-06,74620.52,42874.84,31745.680000000008
"Rubio, Rogers and Stevens",1994-10,70549.8,17836.44,52713.36
"Kelly, Jimenez and Cooper",1986-03,97152.72,85024.04,12128.680000000008
Griffin-Black,1981-08,89001.11,15008.33,73992.78
Rogers-Bradshaw,2013-07,61038.19,36646.51,24391.68
Davidson Group,1979-10,73109.59,39675.73,33433.85999999999
Moore-Miller,1971-06,66241.19,51932.62,14308.57
Green and Sons,1976-10,17990.25,17096.45,893.7999999999993
Carney-Chavez,2017-07,75317.14,25702.36,49614.78
Terrell Inc,1980-10,78624.88,23604.78,55020.100000000006
Mendez-Grant,1974-10,72885.88,56911.51,15974.370000000003
"Russell, Winters and White",2015-03,17329.49,13289.02,4040.470000000001
Colon LLC,1970-11,49950.11,17370.66,32579.45
"Turner, Smith and Hall",2015-06,95165.84,70943.06,24222.78
"Morales, Murray and Davis",1973-09,54437.95,35637.52,18800.43
Vasquez LLC,2012-07,72347.55,11950.9,60396.65
Warren LLC,1983-11,46092.56,17753.38,28339.179999999997
Wagner Group,2017-06,82091.53,67009.97,15081.559999999998
Liu-Young,1975-09,71468.4,23865.77,47602.62999999999
Johnson-Cruz,2013-12,45884.65,32840.94,13043.71
Patterson Inc,1970-02,58475.34,17954.57,40520.77
Lee-Blankenship,2000-08,54621.32,10596.01,44025.31
Mejia-Singleton,1985-08,39712.09,34227.27,5484.82
Barrett-Washington,1981-04,76938.75,28222.63,48716.119999999995
Welch PLC,2004-05,54038.4,18318.9,35719.5
"Ward, Jones and Howard",1984-08,17705.45,14434.05,3271.4000000000015
Thompson Group,1998-04,30456.8,26523.09,3933.709999999999
"Johnson, Becker and Rice",1971-04,49625.97,34728.84,14897.130000000005
Cooper Group,2009-01,87210.97,15472.69,71738.28
Johnson PLC,2012-10,47665.8,46374.19,1291.6100000000006
Wright-Hernandez,1999-07,68272.16,52585.65,15686.510000000002
"Norris, Brown and Love",2020-09,26088.79,14868.42,11220.37
"Powers, Hubbard and Hodge",1996-03,45375.15,44584.94,790.2099999999991
"Anderson, Kelly and Shaw",1990-06,21843.17,15299.73,6543.439999999999
Garcia-Webster,2006-09,67163.29,17990.55,49172.73999999999
Hudson LLC,1981-12,87283.82,16366.78,70917.04000000001
Wilson-Decker,2004-10,60301.36,55541.68,4759.68
James-Macdonald,1996-11,63989.6,45165.5,18824.1
"Jackson, Nelson and Flores",2023-09,44672.54,41698.65,2973.8899999999994
"Smith, Hernandez and Larsen",1999-06,66864.0,14195.02,52668.979999999996
Kelly and Sons,1992-05,25559.72,13636.88,11922.840000000002
Savage-Simmons,2002-10,84509.96,65483.02,19026.94000000001
Delgado and Sons,1994-12,69281.11,40984.23,28296.879999999997
"Wilkinson, Morton and Perez",2022-07,55051.05,50656.0,4395.050000000003
Smith-Singh,2016-09,84438.62,41872.37,42566.24999999999
"Williams, Conner and Walsh",2000-11,76649.39,51396.52,25252.870000000003
Hobbs-Thompson,1996-02,71337.76,66599.14,4738.619999999995
Jones-Miller,1976-05,52621.67,20387.28,32234.39
Mcpherson-Green,1971-11,84174.53,36750.84,47423.69
Nelson-Vazquez,2022-05,84933.88,54982.28,29951.600000000006
"Smith, Ramos and Walsh",2003-03,31657.25,18595.12,13062.130000000001
"Singh, Petersen and Fernandez",2018-11,10969.05,10455.28,513.7699999999986
"Brown, Smith and Rodriguez",2006-08,64063.47,44564.23,19499.239999999998
"Rogers, King and Johnson",1985-07,91686.62,46188.31,45498.31
"Reyes, Smith and Smith",1995-09,52996.47,34190.29,18806.18
Marshall-Sutton,1976-08,43438.93,29811.69,13627.240000000002
Bush-Garcia,2003-10,31515.61,15049.74,16465.870000000003
Jackson Inc,2017-11,75233.57,20489.09,54744.48000000001
"Long, Jones and Johnson",2020-06,15853.45,14797.51,1055.9400000000005
George-Mitchell,1995-08,22909.04,13020.06,9888.980000000001
Garner-Davies,2016-07,25989.47,15612.96,10376.510000000002
"White, Anthony and Chen",1984-06,29737.38,26680.11,3057.2700000000004
Peck and Sons,2004-12,90628.81,48274.82,42353.99
Gregory Ltd,1983-08,95566.68,45281.79,50284.88999999999
"Sullivan, Williamson and Jackson",2010-09,74683.73,17951.41,56732.31999999999
Mcdonald LLC,1998-12,85998.57,13703.54,72295.03
Garcia LLC,2011-12,17637.36,14416.97,3220.3900000000012
Rubio-Evans,1997-01,59790.98,15044.13,44746.850000000006
Jones Group,2011-06,19811.31,12594.58,7216.730000000001
Garcia Group,2021-01,43589.0,34554.28,9034.720000000001
Wilson-Martinez,1993-01,86051.07,71944.66,14106.410000000003
Scott PLC,1974-05,35161.24,24062.0,11099.239999999998
Dickerson Group,2016-04,85900.47,19538.51,66361.96
"Allen, Alexander and Mason",1974-10,41844.69,19478.0,22366.690000000002
Fowler Group,1989-01,52438.64,13190.68,39247.96
"Martin, Miller and Garcia",1988-04,34501.97,32741.69,1760.2800000000025
"Shelton, Hall and Franco",1971-11,75443.46,44633.2,30810.26000000001
Rodriguez-Cantu,2015-05,39769.02,33316.4,6452.619999999995
Gutierrez LLC,2010-05,11814.62,10413.48,1401.1400000000012
"Ward, Mann and Barajas",1987-08,25985.74,19549.31,6436.43
Gray-Moore,2002-06,48510.76,14413.94,34096.82
Brown-Pope,1984-10,28865.17,24956.11,3909.0599999999977
Rush-Lambert,1970-10,98170.58,36467.14,61703.44
Snyder Ltd,1987-06,49657.41,33916.8,15740.61
Hines Inc,1973-04,91807.46,33186.54,58620.920000000006
"Schultz, Martin and Rodriguez",1971-09,75307.15,43973.82,31333.329999999994
White Ltd,1986-03,47605.8,22838.73,24767.070000000003
Hale-Nelson,1995-03,37089.1,11005.45,26083.649999999998
"Harris, Davis and Wright",1982-10,66261.79,20349.54,45912.24999999999
"Strong, Decker and Brown",1987-09,41093.15,15609.13,25484.020000000004
Lloyd Ltd,1998-11,91488.43,60623.68,30864.749999999993
Li-Boyd,1998-09,97074.79,49533.87,47540.91999999999
Meza-Davis,1996-03,85665.85,45929.09,39736.76000000001
King-Velez,1987-09,45054.28,43049.09,2005.1900000000023
"Burns, Velazquez and Black",1974-11,35278.69,31857.18,3421.510000000002
Griffin-Spencer,2018-11,48251.16,21569.56,26681.600000000002
"Anderson, Bauer and Clarke",1988-06,21387.82,16995.92,4391.9000000000015
Evans-Brown,1990-10,20958.41,18558.7,2399.709999999999
Drake PLC,2012-11,55746.01,16758.25,38987.76
Jones Ltd,1980-08,25300.55,10040.54,15260.009999999998
Meyer Ltd,1982-05,99033.1,28994.56,70038.54000000001
Ross-Salazar,1970-12,16823.24,12130.49,4692.750000000002
Monroe Ltd,1971-10,78296.47,50101.09,28195.380000000005
Graves-Walker,1991-10,83533.42,23094.34,60439.08
Smith and Sons,2007-06,13978.54,10192.14,3786.4000000000015
Skinner-Odom,1979-12,80463.91,58684.55,21779.36
"Wilson, Ward and Harrison",1979-07,63171.08,31823.0,31348.08
Martin and Sons,2018-11,82577.38,48032.84,34544.54000000001
Joyce-Morrison,1999-09,93378.36,68242.56,25135.800000000003
Wells Ltd,1991-08,38866.76,23866.68,15000.080000000002
"Fry, Hardy and Lang",1996-07,42752.86,38977.64,3775.220000000001
Sloan Ltd,1976-12,47814.07,19796.47,28017.6
Castillo-James,2010-09,76946.04,24399.34,52546.7
Romero-Hinton,1977-08,40065.35,21721.44,18343.91
Shaffer-Dean,1988-05,66011.52,14127.24,51884.280000000006
Lee-Berg,1976-11,55323.11,24330.77,30992.34
Schmitt PLC,1999-06,68443.65,67907.95,535.6999999999971
Dunn-Phillips,1982-01,67526.66,48062.85,19463.810000000005
Rodriguez-Taylor,2013-12,35954.42,16802.65,19151.769999999997
Carey-Henry,2000-05,40148.66,21692.31,18456.350000000002
"Phillips, Williams and Johnston",2006-10,45668.69,26478.71,19189.980000000003
"Sellers, Gonzalez and Cole",2009-01,20858.29,18928.14,1930.1500000000015
Duarte and Sons,2019-11,50726.09,30583.47,20142.619999999995
Thornton Group,2024-01,73794.21,15475.01,58319.200000000004
"Wagner, Jones and Weber",1995-07,69579.14,43488.95,26090.190000000002
Gomez and Sons,1987-07,47865.54,39032.88,8832.660000000003
"Henderson, White and Elliott",1992-07,37742.02,23071.56,14670.459999999995
Casey LLC,2017-07,43935.19,32673.5,11261.690000000002
Brooks-Wagner,1988-06,41158.76,18635.27,22523.49
"Jones, Ramos and Jennings",1983-02,99126.23,25206.93,73919.29999999999
Williamson and Sons,2003-10,88604.56,77605.21,10999.349999999991
Smith-Davis,2017-12,79552.34,30243.2,49309.14
"Johnson, Pennington and Harris",2021-07,14222.06,12506.8,1715.2600000000002
"Price, Torres and Rodriguez",1988-06,89204.12,61991.87,27212.249999999993
Martin-Livingston,1980-01,46206.52,44780.67,1425.8499999999985
Peterson-Hatfield,1995-09,76308.84,44476.61,31832.229999999996
Anderson-Evans,2013-07,48950.54,13439.71,35510.83
Morse Group,2001-12,28166.88,16693.2,11473.68
Martin and Sons,1977-12,58769.42,57055.2,1714.2200000000012
Reynolds LLC,2019-06,53659.41,26285.98,27373.430000000004
Forbes Group,1999-09,67228.14,66082.6,1145.5399999999936
Collins-Lucas,1999-07,10374.74,10175.35,199.38999999999942
"Leblanc, Mullins and Pratt",2004-06,12925.14,12715.5,209.63999999999942
"Frazier, Johnson and Joseph",1978-08,43000.67,25718.64,17282.03
"Myers, Scott and Herrera",1975-04,88476.82,41036.99,47439.83000000001
Clark Ltd,2017-02,58864.63,47229.36,11635.269999999997
"Henderson, Brown and Hays",1973-10,86608.15,27262.64,59345.509999999995
"Chambers, Ford and Lopez",1975-01,60353.38,55562.24,4791.139999999999
"Barr, Torres and Hunt",1992-06,40563.73,39816.66,747.0699999999997
"Thornton, Davis and Massey",1990-09,97483.39,73133.39,24350.0
Ross LLC,2020-07,20265.64,11360.33,8905.31
"Perez, Glover and Sosa",1987-04,17176.4,15198.66,1977.7400000000016
"Stone, Whitaker and Thomas",1992-01,83791.5,82849.27,942.2299999999959
Kramer-Daniels,2013-03,20239.2,20164.94,74.26000000000204
Clark-Alexander,1978-11,13338.66,12523.09,815.5699999999997
Turner LLC,2010-06,84802.11,67138.86,17663.25
Rivera-Sanchez,2007-05,75849.29,27824.64,48024.649999999994
Mccann and Sons,1980-03,92230.61,26336.41,65894.2
Hart LLC,1971-10,64710.95,14934.93,49776.02
"Bruce, Lopez and Ford",2021-02,68333.87,51242.65,17091.219999999994
Jones-Morris,2008-02,51007.64,44393.41,6614.229999999996
"Keller, Young and Lewis",2013-05,67209.5,37383.7,29825.800000000003
Parker PLC,2016-02,61507.25,27795.47,33711.78
"Torres, Harris and Hall",2005-09,56425.03,44612.14,11812.89
Palmer-Hill,1973-02,74488.08,31789.15,42698.93
Davis Inc,2001-04,32678.14,14850.35,17827.79
Long-Myers,1981-11,62339.25,10366.53,51972.72
Jacobs-Spence,2003-11,81534.03,49678.67,31855.36
Barrett Ltd,2003-02,83481.7,69935.6,13546.099999999991
Chan-Torres,2000-04,35035.33,13654.28,21381.050000000003
"Cobb, Campbell and Francis",2009-09,81195.56,64886.97,16308.589999999997
Wolf-Woodard,1986-02,70113.58,50939.77,19173.810000000005
Fisher-Roman,2010-10,79648.73,79108.62,540.1100000000006
Watson-Bennett,1974-10,60589.04,29106.1,31482.940000000002
"Williams, Hamilton and Garcia",2024-01,50737.0,26078.04,24658.96
"Garcia, Sanchez and Richards",1970-04,13758.53,12555.24,1203.2900000000009
Lee-Harrison,1999-08,27982.33,17404.18,10578.150000000001
Scott Group,2014-01,65000.61,35579.2,29421.410000000003
Willis-Reyes,1985-04,13376.11,13257.72,118.39000000000124
Harper Ltd,1989-10,50438.76,17168.02,33270.740000000005
"Sanchez, Gillespie and Shepherd",1973-12,47802.11,30214.56,17587.55
Jensen PLC,1995-09,83430.55,29557.47,53873.08
Pham-Sutton,2009-07,26021.77,15171.0,10850.77
"Bailey, Morris and Guzman",1999-09,21201.36,20855.3,346.0600000000013
Henry-James,1983-11,80588.19,19119.31,61468.880000000005
Bryant Group,2002-05,83247.18,79316.5,3930.679999999993
Cooke-Bradley,1975-10,22172.08,17592.26,4579.820000000003
Keller-Roach,1990-09,91248.51,59263.82,31984.689999999995
Bush-Davis,2001-03,72248.88,66491.53,5757.350000000006
Kelley-Davis,2023-11,22067.13,14706.79,7360.34
Bennett-Mann,2017-10,61550.26,44451.16,17099.1
Luna Group,1995-12,66285.86,24579.61,41706.25
Juarez PLC,2017-05,45593.94,20681.08,24912.86
Vazquez-Obrien,2013-03,61351.3,31758.86,29592.440000000002
"Ramos, Stone and Wiggins",2020-10,99244.69,67579.93,31664.76000000001
"Scott, Carney and Bryant",2013-09,93652.16,50843.95,42808.21000000001
"Webster, Phillips and Cooley",1980-03,58286.4,33862.87,24423.53
"Buck, Maxwell and Smith",1997-09,49016.44,21930.22,27086.22
Ferguson PLC,1974-11,45325.41,38527.53,6797.880000000005
Murphy-Cardenas,2019-05,44879.12,30210.18,14668.940000000002
Elliott-Austin,1999-02,97531.41,21144.74,76386.67
Ritter-Mack,2013-01,82809.66,58665.39,24144.270000000004
Peck-Decker,1986-05,45517.5,39406.41,6111.0899999999965
"Shepherd, Thomas and Carter",1987-08,73115.16,45520.84,27594.320000000007
"Hill, Tyler and Guzman",1997-02,35974.27,15150.79,20823.479999999996
King-Lloyd,1996-02,87806.53,13628.06,74178.47
"Garza, Petty and Lopez",2014-09,84986.52,16429.02,68557.5
"Avery, Edwards and Brown",2021-10,48979.17,34586.23,14392.939999999995
Cortez-Martin,2017-12,39261.04,16279.88,22981.160000000003
Vargas and Sons,1994-02,25482.24,12333.52,13148.720000000001
Price-Cobb,1979-04,48314.7,33889.86,14424.839999999997
"Garcia, Mendez and Davis",2023-04,59825.35,43592.04,16233.309999999998
"Leon, Wilson and Smith",1988-05,24106.04,20589.35,3516.6900000000023
Miller PLC,2020-11,24265.99,19189.81,5076.18
Adams Inc,2024-04,68195.0,54798.02,13396.980000000003
"Hall, Camacho and Ayala",1994-05,49737.08,37279.84,12457.240000000005
Stone Inc,2011-02,67352.76,14974.83,52377.92999999999
"Lloyd, Morse and Moss",1991-12,34423.14,10164.31,24258.83
Reed Inc,1985-04,56408.28,43308.24,13100.04
Johnson-Hill,1976-07,34304.36,33504.64,799.7200000000012
Walker and Sons,1977-10,57356.61,31753.41,25603.2
Williams-Davis,1971-05,57860.44,12913.36,44947.08
Jones LLC,1994-10,58407.69,34662.01,23745.68
"Kirk, Sherman and Wade",2015-07,20061.42,19741.23,320.1899999999987
Hill PLC,2003-10,30557.82,23497.19,7060.630000000001
Lee-Snyder,1990-10,37667.09,32314.17,5352.919999999998
Martin-Rogers,1987-11,28253.64,27955.08,298.5599999999977
"Spencer, Crawford and Mendoza",2019-10,59395.42,22174.49,37220.92999999999
Lawrence Ltd,2018-08,71654.83,33478.26,38176.57
Lopez-Howard,2020-03,24677.93,20873.96,3803.970000000001
"Smith, Simmons and Moore",2017-11,82313.0,57846.03,24466.97
Boyd-Drake,1996-10,88400.02,79304.06,9095.960000000006
Green-Lewis,2021-07,36428.97,11498.26,24930.71
Durham and Sons,2015-06,53418.41,39256.95,14161.460000000006
"Noble, Graham and Zimmerman",1989-04,29541.41,12244.08,17297.33
"Reynolds, Fields and Kelly",1974-10,71711.33,49786.41,21924.92
"Henson, Robinson and Harmon",1984-11,13153.46,10464.74,2688.7199999999993
Holden Group,2022-06,27480.71,22808.86,4671.8499999999985
"Benjamin, Mendoza and Murphy",2004-07,24627.75,20839.43,3788.3199999999997
Holland-Smith,1985-03,58209.22,48991.03,9218.190000000002
Montoya-Goodman,1972-05,24576.44,11473.62,13102.819999999998
Lee-Davis,1986-04,66657.6,25418.39,41239.21000000001
Ferguson-Sherman,2017-04,45758.99,38237.56,7521.43
"Sullivan, Jackson and Boone",2015-12,97922.48,73145.09,24777.39
Davis LLC,1993-11,73370.34,58071.48,15298.859999999993
Davidson-Burnett,1998-08,38752.13,34913.84,3838.290000000001
Thompson-Griffin,2003-07,25247.9,22673.62,2574.2800000000025
Wu-Brown,2008-01,27028.23,13951.52,13076.71
Gonzalez Group,1970-10,25240.55,19310.62,5929.93
Smith-Johnson,1985-03,81451.94,60308.16,21143.78
Barnes Group,1974-11,21039.17,11418.22,9620.949999999999
"Brady, Johnson and Jones",1994-01,54124.92,17833.86,36291.06
Thomas-Robinson,2006-01,73755.21,70077.0,3678.2100000000064
Roberts-Chavez,1971-07,25070.06,24607.55,462.51000000000204
"Peterson, Gibson and Cooper",2002-10,59288.74,22049.57,37239.17
Kim-Miller,2013-11,41272.88,38210.36,3062.519999999997
"Morrow, Lee and Smith",2012-08,68903.84,29597.57,39306.27
Kennedy PLC,2015-03,42383.27,42333.1,50.169999999998254
Taylor-Avila,2016-07,21021.09,17207.99,3813.0999999999985
"Cannon, Smith and King",2000-04,78353.29,63087.16,15266.12999999999
Harvey-Hawkins,1972-12,75019.13,39431.11,35588.020000000004
Brewer-Carter,1977-03,34543.57,24739.34,9804.23
Atkinson-Leonard,1980-12,49118.32,43223.37,5894.949999999997
"Rubio, Wagner and Cole",1993-12,45062.62,31986.73,13075.890000000003
Gonzalez PLC,1970-10,85281.31,71534.06,13747.25
"Gallagher, Bennett and Gonzales",1985-08,94753.3,71333.9,23419.40000000001
"Williamson, Martin and Davidson",1987-07,20318.9,18815.03,1503.8700000000026
"Smith, Jones and Hardin",1971-10,62995.83,33361.43,29634.4
"Villegas, Davis and Yang",2020-06,67469.22,60636.86,6832.360000000001
"Bass, Jimenez and Cunningham",2018-07,33446.2,23811.59,9634.609999999997
White-Duke,1977-05,70933.21,40631.02,30302.19000000001
"Reyes, Hurst and Moss",2000-11,51216.65,35730.05,15486.599999999999
Tran-Lopez,1975-10,32903.2,17203.98,15699.219999999998
Macdonald-Harris,1997-10,79289.57,17955.94,61333.630000000005
West-Clark,1970-03,55127.06,18181.16,36945.899999999994
"Gordon, Brown and Terrell",1986-11,36277.25,23763.27,12513.98
Arnold LLC,1979-11,81995.64,17547.85,64447.79
"Holmes, Cannon and Johnson",1984-12,59615.48,37116.87,22498.61
Jimenez Ltd,2023-05,10260.05,10172.63,87.42000000000007
Jennings Ltd,1999-09,40289.91,10853.48,29436.430000000004
Chung Ltd,1998-04,87903.56,73571.99,14331.569999999992
Hernandez-Thomas,1974-11,13301.63,11888.24,1413.3899999999994
Welch-Dawson,1982-09,59324.85,19660.03,39664.82
"Patterson, Porter and Hodge",1989-03,91764.3,59567.03,32197.270000000004
Figueroa-Espinoza,1990-11,19822.94,18761.31,1061.6299999999974
Thompson and Sons,2003-09,32953.8,30139.74,2814.0600000000013
Stark Group,1980-12,43808.61,33993.32,9815.29
Hall-Sexton,2018-05,13438.97,11968.18,1470.789999999999
"Jones, Ryan and Collins",2013-11,55575.37,24667.79,30907.58
Castillo and Sons,1974-07,86680.06,40956.5,45723.56
Johnson Inc,2020-12,73599.75,27824.82,45774.93
Rodriguez-Cook,1974-12,90873.64,21078.19,69795.45
"Thomas, Johnson and Abbott",1997-06,60796.46,27231.85,33564.61
Smith PLC,2017-03,18723.94,11064.57,7659.369999999999
"Fisher, Frederick and Vargas",1974-01,12507.43,11252.8,1254.630000000001
"Butler, Boone and Coleman",1971-08,98085.67,40857.75,57227.92
Schneider and Sons,1970-11,64946.48,50833.06,14113.420000000006
Bailey Inc,1983-04,45040.15,40933.23,4106.919999999998
Trevino Ltd,2009-11,27970.86,12878.45,15092.41
White-Blackwell,2003-03,43675.55,13568.66,30106.890000000003
Martinez LLC,2007-05,92638.72,37886.95,54751.770000000004
Walker Inc,2003-06,11334.63,10794.41,540.2199999999993
Jones-Harrison,2007-10,40047.23,11449.12,28598.11
Romero PLC,2004-10,15281.19,13848.78,1432.4099999999999
Carson Ltd,1979-11,82842.2,37319.96,45522.24
Sanchez-Morgan,1980-10,55695.95,37098.7,18597.25
"Proctor, Warren and Cook",1977-04,42010.34,37074.2,4936.139999999999
Clarke Ltd,2012-09,14360.2,10886.29,3473.91
Herman Group,1974-12,22955.29,13178.31,9776.980000000001
Taylor-Moody,1989-12,36139.76,26838.9,9300.86
Alexander and Sons,1999-05,52633.79,35458.79,17175.0
Pearson-Cook,1994-08,47472.54,27802.24,19670.3
Henderson-Dalton,2002-04,13455.35,12308.98,1146.3700000000008
Shelton Ltd,1980-03,81883.88,79282.97,2600.9100000000035
"Martinez, Wolf and Washington",1982-03,87050.85,44386.62,42664.23
"Gamble, Smith and Schroeder",1981-04,61158.66,50937.24,10221.420000000006
Barry-Williams,1973-02,25878.61,17023.08,8855.529999999999
Acevedo Group,1994-08,38750.29,23552.53,15197.760000000002
Robinson-Obrien,1978-07,37134.06,31107.05,6027.009999999998
Sanchez-Steele,1996-05,10625.48,10350.62,274.85999999999876
"Davenport, Howell and Hoover",2004-12,73302.36,70658.11,2644.25
Hess-Gardner,2003-09,34894.6,12092.93,22801.67
Hernandez Inc,2002-07,70282.18,36984.04,33298.13999999999
"Jackson, Rodriguez and Mendoza",2003-02,63359.67,50592.32,12767.349999999999
"Townsend, Boyd and Hughes",1979-01,31667.64,13306.52,18361.12
Day Inc,1988-11,80037.21,31795.63,48241.58
Martin-Wise,1988-10,52709.64,37103.67,15605.970000000001
"Hernandez, Bowman and Salas",1982-02,47484.17,11925.27,35558.899999999994
Booker LLC,2016-07,20180.82,16973.65,3207.1699999999983
"Alexander, Becker and Myers",2006-05,83276.66,68037.84,15238.820000000007
Wright-Taylor,1974-04,43794.82,35531.01,8263.809999999998
Bell Ltd,2017-08,25901.6,12644.2,13257.399999999998
"Graham, Massey and Sharp",2022-07,91275.94,25379.23,65896.71
Hamilton Ltd,1992-08,21731.32,15695.66,6035.66
"Holt, May and Smith",1994-05,37161.19,36971.76,189.4300000000003
"Thomas, Murillo and Johnson",1982-05,40586.6,31667.12,8919.48
Rodriguez-Atkinson,1997-10,15829.05,12195.65,3633.3999999999996
"Webster, Garcia and French",2021-10,27471.11,12251.64,15219.470000000001
Johnson PLC,2010-12,54941.37,30443.22,24498.15
"Jenkins, Walls and Medina",1973-06,36390.09,11975.03,24415.059999999998
Crosby-Jordan,1973-08,33123.09,27260.17,5862.919999999998
Herring LLC,1977-08,88706.24,39704.63,49001.61000000001
Stewart-Taylor,2008-02,84006.43,63934.3,20072.12999999999
Jimenez Inc,1989-11,46384.13,33838.64,12545.489999999998
"Willis, Hood and Chaney",2000-09,89339.56,30423.2,58916.36
Allen Ltd,2007-07,79412.18,74993.73,4418.449999999997
"Hughes, Williams and Gardner",2012-05,42021.83,37242.06,4779.770000000004
"Torres, Jones and Ponce",2009-04,75041.37,72202.45,2838.9199999999983
Parks Inc,1975-05,12601.83,12251.29,350.53999999999905
Taylor-Johnson,1993-09,86738.07,76923.77,9814.300000000003
"Weeks, Taylor and Morgan",2012-07,68061.02,53090.99,14970.030000000006
"Caldwell, Hess and Lutz",1982-09,76649.42,52006.48,24642.939999999995
"Waters, Fischer and Estes",2006-08,95416.71,32336.71,63080.00000000001
Heath-Irwin,2016-02,89684.28,31629.99,58054.28999999999
Robinson-Callahan,1979-03,92767.29,71853.97,20913.319999999992
"Blanchard, Brady and Palmer",2003-02,15425.26,13642.61,1782.6499999999996
"Scott, Smith and Clark",1999-05,61689.2,44457.02,17232.18
Hernandez-Rodgers,2010-12,52339.68,15454.36,36885.32
Brown Ltd,1986-05,26293.93,20601.42,5692.510000000002
"Bailey, Garcia and Boyd",2001-02,74023.86,50012.55,24011.309999999998
"Hubbard, Ashley and Anderson",1973-08,61773.66,19017.56,42756.100000000006
Friedman LLC,1998-11,92719.21,69594.11,23125.100000000006
Ritter LLC,1973-02,71723.55,10037.8,61685.75
Rodriguez LLC,1992-05,75856.34,38969.19,36887.149999999994
Black LLC,1971-09,15879.04,14894.68,984.3600000000006
Mccullough PLC,2003-04,55568.91,28402.74,27166.170000000002
Leblanc Group,1974-10,26193.79,13045.54,13148.25
"Gomez, Rowe and Garner",1994-03,17195.76,14358.45,2837.3099999999977
"Howard, Kelly and White",1970-10,97237.46,87517.4,9720.060000000012
"Baker, Taylor and Maldonado",1973-05,31847.25,14396.41,17450.84
Gonzalez Group,1996-12,56409.45,17826.22,38583.229999999996
"Duran, Hines and Branch",1989-07,82311.67,76982.22,5329.449999999997
Moran PLC,1983-05,99679.4,45710.29,53969.10999999999
Hardin-Evans,1998-12,31542.27,16790.42,14751.850000000002
Jacobs-Sutton,1998-09,53702.03,14865.03,38837.0
Anderson Inc,2004-11,23909.12,13683.85,10225.269999999999
Mcneil and Sons,2003-08,90024.15,87086.49,2937.659999999989
"Suarez, Mcbride and Bauer",2014-12,82752.22,64687.65,18064.57
Morgan PLC,2014-01,42067.89,19432.31,22635.579999999998
Cunningham PLC,1979-01,53168.25,34348.39,18819.86
"Colon, Bradley and Hill",1976-05,37809.89,18668.39,19141.5
Pacheco PLC,1981-01,15562.97,13595.79,1967.1799999999985
"Hopkins, Singleton and Hendricks",2006-07,97646.78,91999.46,5647.319999999992
"Lee, Martin and Dawson",2011-01,64778.51,24644.03,40134.48
Murray-Cole,1997-06,27141.8,16536.84,10604.96
Smith Ltd,1992-02,18968.87,14622.5,4346.369999999999
Hall-Everett,1982-08,83432.76,58594.46,24838.299999999996
York PLC,1978-06,45959.42,19522.99,26436.429999999997
Williams-Perez,1990-05,37033.2,22681.73,14351.469999999998
"Robinson, Harris and Smith",1975-03,79060.13,62196.8,16863.33
Wagner-Hahn,2006-04,30268.26,29016.18,1252.079999999998
Hughes Group,2008-10,41044.67,35513.76,5530.909999999996
Richmond Ltd,2017-11,16522.99,14545.0,1977.9900000000016
Casey-Williams,2004-06,26303.81,22956.03,3347.7800000000025
White and Sons,2008-12,66154.99,34816.82,31338.170000000006
"Rodriguez, Thompson and Pacheco",1971-04,76825.16,10892.94,65932.22
"Spencer, Anderson and Doyle",1975-04,91488.29,35231.98,56256.30999999999
Powers-Davis,1978-12,62522.25,48934.14,13588.11
"Carroll, Johnson and Dixon",1984-10,60187.01,45093.34,15093.670000000006
"Williams, Humphrey and Wilcox",1993-06,10173.8,10048.67,125.1299999999992
Morgan-Rodriguez,2021-07,88404.66,16886.21,71518.45000000001
Walls Inc,1977-07,89444.28,59994.82,29449.46
Sexton Ltd,2005-11,97362.21,76236.2,21126.01000000001
"Dixon, Andrews and Lewis",2009-05,74893.94,14700.03,60193.91
